timestamp,xRequestId,matchPath,method,status,path,userAgent
"Feb 22, 2024 @ 18:49:00.376","fc80d260-d16f-11ee-a999-bb7c6c00f712","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370173","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:48:54.990","f94ea540-d16f-11ee-80c0-d551e4e9b4c5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370486","WeMoScooter/4.15.0 (iOS 17.2.1; iPhone13Pro)"
"Feb 22, 2024 @ 18:48:50.195","f671c410-d16f-11ee-90f5-0d49d3fd4566","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370482","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone14ProMax)"
"Feb 22, 2024 @ 18:48:47.203","f4a9d550-d16f-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370261","WeMoScooter/4.15.0 (iOS 16.3.1; iPhone12ProMax)"
"Feb 22, 2024 @ 18:48:46.291","f41b50f0-d16f-11ee-bf87-8f33bdd4a4d5","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370255","WeMoScooter/4.16.1 (iOS 16.1.1; iPhone14Pro)"
"Feb 22, 2024 @ 18:48:43.952","f2ae0550-d16f-11ee-8ba8-3fab3c9b8b36","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370186","WeMoScooter/4.15.0 (iOS 16.1.1; iPhone14Pro)"
"Feb 22, 2024 @ 18:48:36.936","ee873f00-d16f-11ee-a999-bb7c6c00f712","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370468","WeMoScooter/4.16.1 (iOS 17.2.1; iPhone14ProMax)"
"Feb 22, 2024 @ 18:48:34.573","ed231b20-d16f-11ee-a4fc-1772698914a7","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370461","WeMoScooter/4.16.1 (iOS 16.7.2; iPhone13Pro)"
"Feb 22, 2024 @ 18:48:32.442","ebdd7bc0-d16f-11ee-a4fc-1772698914a7","/v22/users/me/rents/:id(\d+)$",DELETE,200,"/v22/users/me/rents/45370236","WeMoScooter/4.13.1 (iOS 16.4; iPhone11)"
"Feb 22, 2024 @ 18:48:30.461","eaad8740-d16f-11ee-90f5-0d49d3fd4566","/v23/users/me/rents/:id(\d+)$",DELETE,200,"/v23/users/me/rents/45370217","WeMoScooter/4.15.0 (Android 14; Manufacturer: samsung, MarketName: SM-S9180, Model: SM-S9180, Codename: dm3q, DeviceName: SM-S9180)"
